Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,-20,0.26065483689308167,7.3098941356875e-05,0.23527175188064575
0,-16,0.19547714293003082,3.886884223902598e-05,0.17595912516117096
0,-12,0.28243252635002136,0.0007231605122797191,0.12789751589298248
0,-8,0.04561633616685867,0.0036686575040221214,0.0456320084631443
0,-4,0.7245116233825684,0.0006815421511419117,0.022865908220410347
0,0,0.014275049388963592,0.00030504125118463855,0.018643889712535812
1,-20,0.3812088072299957,0.00038698111893609166,0.33338189125061035
1,-16,0.25698134303092957,0.0004384829371701926,0.2755569815635681
1,-12,0.16096149384975433,0.0006143147475086153,2.78729510307312
1,-8,0.11481273174285889,0.00011395580804673955,0.06734834611415863
1,-4,0.5436480045318604,1.4590400496672373e-05,0.279183954000473
1,0,0.13161070008821685,0.00028147764102379354,0.012761751893202136
2,-20,0.3937012553215027,1.5823121430003084e-05,0.1486583799123764
2,-16,0.26428914070129395,2.6765010261442512e-05,0.4156939685344696
2,-12,0.6878653168678284,9.88073406915646e-06,0.22192491590976715
2,-8,0.06487826257944107,9.937643881130498e-06,0.08984988927841187
2,-4,0.012159189209342003,9.970378414436709e-06,0.06006743758916855
2,0,0.16600720570869054,0.00036550596745212006,0.015202402924399382
3,-20,1.399680256843567,1.4866286619508173e-05,0.8240464925765991
3,-16,1.9033098220825195,9.93700905382866e-06,0.1760120987892151
3,-12,0.30960676074028015,9.914570000546519e-06,0.23273909091949463
3,-8,0.053524650633335114,9.964806849893648e-06,0.3740023672580719
3,-4,0.0023875681217759848,1.4874457519908901e-05,0.15734592080116272
3,0,0.17339693862575145,0.00039259606541322344,0.003932288918463265
4,-20,0.35709115862846375,9.971210602088831e-06,0.19532573223114014
4,-16,0.3701130449771881,9.9909957498312e-06,0.2157140076160431
4,-12,0.1616675704717636,9.977153240470216e-06,0.29654020071029663
4,-8,0.05565629154443741,9.921765013132244e-06,0.04741332307457924
4,-4,0.20225223898887634,2.0336892703198828e-05,0.06910551339387894
4,0,0.17965632334811232,0.0003236091297806008,0.01479068546594419
5,-20,0.3149948716163635,9.95141908788355e-06,0.7689918875694275
5,-16,0.30850106477737427,9.983578820538241e-06,0.28673118352890015
5,-12,0.4367351830005646,9.984480129787698e-06,0.653173565864563
5,-8,0.8781052827835083,9.922862773237284e-06,0.16102655231952667
5,-4,0.059968285262584686,1.4765746527700685e-05,0.10306772589683533
5,0,0.17548061389660835,0.0004929630962254033,0.011526600202981793
