Method,Mode,Gamma,Abs Error,Rel Error
Vanilla PINN,0,0,0.018643889712535812,8.94184912297033
Vanilla PINN,0,-4,0.022865908220410347,2.2865908220410347
Vanilla PINN,0,-8,0.0456320084631443,4.56320084631443
Vanilla PINN,0,-12,0.12789751589298248,12.789751589298248
Vanilla PINN,0,-16,0.17595912516117096,17.595912516117096
Vanilla PINN,0,-20,0.23527175188064575,23.527175188064575
Vanilla PINN,1,0,0.012761751893202136,6.413917738655442
Vanilla PINN,1,-4,0.279183954000473,27.918395400047302
Vanilla PINN,1,-8,0.06734834611415863,6.734834611415863
Vanilla PINN,1,-12,2.78729510307312,278.729510307312
Vanilla PINN,1,-16,0.2755569815635681,27.55569815635681
Vanilla PINN,1,-20,0.33338189125061035,33.338189125061035
Vanilla PINN,2,0,0.015202402924399382,10.646065419217859
Vanilla PINN,2,-4,0.06006743758916855,6.006743758916855
Vanilla PINN,2,-8,0.08984988927841187,8.984988927841187
Vanilla PINN,2,-12,0.22192491590976715,22.192491590976715
Vanilla PINN,2,-16,0.4156939685344696,41.56939685344696
Vanilla PINN,2,-20,0.1486583799123764,14.86583799123764
Vanilla PINN,3,0,0.003932288918463265,2.1088437856212563
Vanilla PINN,3,-4,0.15734592080116272,15.734592080116272
Vanilla PINN,3,-8,0.3740023672580719,37.40023672580719
Vanilla PINN,3,-12,0.23273909091949463,23.273909091949463
Vanilla PINN,3,-16,0.1760120987892151,17.60120987892151
Vanilla PINN,3,-20,0.8240464925765991,82.40464925765991
Vanilla PINN,4,0,0.01479068546594419,8.856735581395649
Vanilla PINN,4,-4,0.06910551339387894,6.910551339387894
Vanilla PINN,4,-8,0.04741332307457924,4.741332307457924
Vanilla PINN,4,-12,0.29654020071029663,29.654020071029663
Vanilla PINN,4,-16,0.2157140076160431,21.57140076160431
Vanilla PINN,4,-20,0.19532573223114014,19.532573223114014
Vanilla PINN,5,0,0.011526600202981793,6.269682342539194
Vanilla PINN,5,-4,0.10306772589683533,10.306772589683533
Vanilla PINN,5,-8,0.16102655231952667,16.102655231952667
Vanilla PINN,5,-12,0.653173565864563,65.3173565864563
Vanilla PINN,5,-16,0.28673118352890015,28.673118352890015
Vanilla PINN,5,-20,0.7689918875694275,76.89918875694275
Curriculum Training,0,0,0.014275049388963592,7.1567093706278335
Curriculum Training,0,-4,0.7245116233825684,72.45116233825684
Curriculum Training,0,-8,0.04561633616685867,4.561633616685867
Curriculum Training,0,-12,0.28243252635002136,28.243252635002136
Curriculum Training,0,-16,0.19547714293003082,19.547714293003082
Curriculum Training,0,-20,0.26065483689308167,26.065483689308167
Curriculum Training,1,0,0.13161070008821685,141.36441474356639
Curriculum Training,1,-4,0.5436480045318604,54.364800453186035
Curriculum Training,1,-8,0.11481273174285889,11.481273174285889
Curriculum Training,1,-12,0.16096149384975433,16.096149384975433
Curriculum Training,1,-16,0.25698134303092957,25.698134303092957
Curriculum Training,1,-20,0.3812088072299957,38.12088072299957
Curriculum Training,2,0,0.16600720570869054,142.80836689606363
Curriculum Training,2,-4,0.012159189209342003,1.2159189209342003
Curriculum Training,2,-8,0.06487826257944107,6.487826257944107
Curriculum Training,2,-12,0.6878653168678284,68.78653168678284
Curriculum Training,2,-16,0.26428914070129395,26.428914070129395
Curriculum Training,2,-20,0.3937012553215027,39.37012553215027
Curriculum Training,3,0,0.17339693862575145,145.31511080331683
Curriculum Training,3,-4,0.0023875681217759848,0.23875681217759848
Curriculum Training,3,-8,0.053524650633335114,5.352465063333511
Curriculum Training,3,-12,0.30960676074028015,30.960676074028015
Curriculum Training,3,-16,1.9033098220825195,190.33098220825195
Curriculum Training,3,-20,1.399680256843567,139.9680256843567
Curriculum Training,4,0,0.17965632334811232,141.84182717210805
Curriculum Training,4,-4,0.20225223898887634,20.225223898887634
Curriculum Training,4,-8,0.05565629154443741,5.565629154443741
Curriculum Training,4,-12,0.1616675704717636,16.16675704717636
Curriculum Training,4,-16,0.3701130449771881,37.01130449771881
Curriculum Training,4,-20,0.35709115862846375,35.709115862846375
Curriculum Training,5,0,0.17548061389660835,141.84365317468362
Curriculum Training,5,-4,0.059968285262584686,5.996828526258469
Curriculum Training,5,-8,0.8781052827835083,87.81052827835083
Curriculum Training,5,-12,0.4367351830005646,43.67351830005646
Curriculum Training,5,-16,0.30850106477737427,30.850106477737427
Curriculum Training,5,-20,0.3149948716163635,31.499487161636353
PL-PINN,0,0,0.00030504125118463855,0.2168481627684606
PL-PINN,0,-4,0.0006815421511419117,0.06815421511419117
PL-PINN,0,-8,0.0036686575040221214,0.36686575040221214
PL-PINN,0,-12,0.0007231605122797191,0.07231605122797191
PL-PINN,0,-16,3.886884223902598e-05,0.003886884223902598
PL-PINN,0,-20,7.3098941356875e-05,0.0073098941356875
PL-PINN,1,0,0.00028147764102379354,0.184875408854277
PL-PINN,1,-4,1.4590400496672373e-05,0.0014590400496672373
PL-PINN,1,-8,0.00011395580804673955,0.011395580804673955
PL-PINN,1,-12,0.0006143147475086153,0.061431474750861526
PL-PINN,1,-16,0.0004384829371701926,0.04384829371701926
PL-PINN,1,-20,0.00038698111893609166,0.038698111893609166
PL-PINN,2,0,0.00036550596745212006,0.28199202198330414
PL-PINN,2,-4,9.970378414436709e-06,0.000997037841443671
PL-PINN,2,-8,9.937643881130498e-06,0.0009937643881130498
PL-PINN,2,-12,9.88073406915646e-06,0.000988073406915646
PL-PINN,2,-16,2.6765010261442512e-05,0.0026765010261442512
PL-PINN,2,-20,1.5823121430003084e-05,0.0015823121430003084
PL-PINN,3,0,0.00039259606541322344,0.3007471354120996
PL-PINN,3,-4,1.4874457519908901e-05,0.0014874457519908901
PL-PINN,3,-8,9.964806849893648e-06,0.0009964806849893648
PL-PINN,3,-12,9.914570000546519e-06,0.0009914570000546519
PL-PINN,3,-16,9.93700905382866e-06,0.000993700905382866
PL-PINN,3,-20,1.4866286619508173e-05,0.0014866286619508173
PL-PINN,4,0,0.0003236091297806008,0.24797426889264984
PL-PINN,4,-4,2.0336892703198828e-05,0.0020336892703198828
PL-PINN,4,-8,9.921765013132244e-06,0.0009921765013132244
PL-PINN,4,-12,9.977153240470216e-06,0.0009977153240470216
PL-PINN,4,-16,9.9909957498312e-06,0.00099909957498312
PL-PINN,4,-20,9.971210602088831e-06,0.0009971210602088831
PL-PINN,5,0,0.0004929630962254033,0.35524827861953967
PL-PINN,5,-4,1.4765746527700685e-05,0.0014765746527700685
PL-PINN,5,-8,9.922862773237284e-06,0.0009922862773237284
PL-PINN,5,-12,9.984480129787698e-06,0.0009984480129787698
PL-PINN,5,-16,9.983578820538241e-06,0.0009983578820538241
PL-PINN,5,-20,9.95141908788355e-06,0.000995141908788355
