Mode,Method,abs_err,rel_err
Mode 0,Regular PINN,**3.21e-05**,**0.019%**
Mode 0,Curriculum Training,1.81e-03,0.860%
Mode 0,PL-PINN (ours),7.18e-05,0.044%
Mode 1,Regular PINN,2.30e-04,0.110%
Mode 1,Curriculum Training,**8.75e-05**,**0.047%**
Mode 1,PL-PINN (ours),1.75e-04,0.107%
Mode 2,Regular PINN,4.13e-04,0.200%
Mode 2,Curriculum Training,2.70e-04,0.131%
Mode 2,PL-PINN (ours),**1.11e-04**,**0.065%**
Mode 3,Regular PINN,1.32e-04,0.064%
Mode 3,Curriculum Training,1.32e-04,0.068%
Mode 3,PL-PINN (ours),**8.89e-05**,**0.045%**
Mode 4,Regular PINN,5.81e-04,0.270%
Mode 4,Curriculum Training,**6.93e-05**,**0.035%**
Mode 4,PL-PINN (ours),8.48e-05,0.044%
Mode 5,Regular PINN,9.61e-05,0.048%
Mode 5,Curriculum Training,2.60e-04,0.120%
Mode 5,PL-PINN (ours),**6.77e-05**,**0.035%**
