Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,3.206673194332328e-05,0.019030972712152927
Regular PINN,1,0,0.0002296242744705605,0.1099779107469557
Regular PINN,2,0,0.00041307567758402117,0.2002352214443945
Regular PINN,3,0,0.00013223629783067455,0.06441772422898817
Regular PINN,4,0,0.000581239880790873,0.2703456217565285
Regular PINN,5,0,9.613515723625032e-05,0.04832052150323817
Curriculum Training,0,0,0.0018068411789714314,0.8598106179671066
Curriculum Training,1,0,8.7509547931867e-05,0.04714342726565015
Curriculum Training,2,0,0.0002704664752709107,0.13137758146987397
Curriculum Training,3,0,0.00013206221993550745,0.06762171125282936
Curriculum Training,4,0,6.933112484185005e-05,0.03484764854495663
Curriculum Training,5,0,0.00025951820045061713,0.11982554952583416
PL-PINN (ours),0,0,7.180303470329921e-05,0.044114328694212356
PL-PINN (ours),1,0,0.0001754532261201056,0.10727323524977526
PL-PINN (ours),2,0,0.00011093614722081049,0.06469923195472521
PL-PINN (ours),3,0,8.889785104598076e-05,0.04495017199378604
PL-PINN (ours),4,0,8.47763591999546e-05,0.0439273247857398
PL-PINN (ours),5,0,6.774732512939647e-05,0.0351537582907243
