Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.005326743386639641,0.5924606625227288
Regular PINN,0,20,489730572288.0,48973057228800.0
Regular PINN,0,40,276.34002685546875,27634.002685546875
Regular PINN,0,60,170.42727661132812,17042.727661132812
Regular PINN,0,80,37.92990493774414,3792.990493774414
Regular PINN,0,100,0.1256609708070755,12.56609708070755
Curriculum Training,0,0,1.3518782691183712e-05,0.0015035383276309122
Curriculum Training,0,20,1740655.75,174065575.0
Curriculum Training,0,40,8258435.5,825843550.0
Curriculum Training,0,60,9443855.0,944385500.0
Curriculum Training,0,80,60101704.0,6010170400.0
Curriculum Training,0,100,16693555.0,1669355500.0
PL-PINN (ours),0,0,0.0039951969498325255,0.4446790646858625
PL-PINN (ours),0,20,0.5173084735870361,51.73084735870361
PL-PINN (ours),0,40,0.45365267992019653,45.36526799201965
PL-PINN (ours),0,60,0.6394199728965759,63.94199728965759
PL-PINN (ours),0,80,0.6925689578056335,69.25689578056335
PL-PINN (ours),0,100,0.785733163356781,78.5733163356781
