Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,0,1.8341177639111665e-05,2.8264262492477528e-05,2.8045274597553114e-05
0,20,0.7266700863838196,0.004841385874897242,0.09285689890384674
0,40,0.10716009885072708,0.009006768465042114,0.34531116485595703
0,60,0.10089009255170822,0.02116391994059086,0.5381950736045837
0,80,0.10246159136295319,0.02319703996181488,0.9677828550338745
0,100,0.08721952885389328,0.037810008972883224,0.414367139339447
1,0,0.053852495674170824,3.947156587767974e-06,0.015784223268895007
1,20,0.016758471727371216,0.01601543091237545,0.17775818705558777
1,40,0.13158825039863586,0.04695231467485428,0.59758061170578
1,60,0.18592894077301025,0.05158675089478493,0.5527884364128113
1,80,8.494027137756348,0.13006216287612915,0.6773803234100342
1,100,0.27850276231765747,0.07231253385543823,1.2523303031921387
2,0,0.009315815740338674,2.4329744287741037e-06,0.016741243426392084
2,20,0.4194546043872833,0.013625742867588997,0.034376922994852066
2,40,16.199710845947266,0.028726469725370407,0.031170014292001724
2,60,0.7059144377708435,0.0374038927257061,1.8853100538253784
2,80,0.6114078164100647,0.09618870913982391,0.10121586173772812
2,100,0.5688673257827759,0.070930615067482,1.7988812923431396
3,0,0.027677233778178573,1.3088123561722308e-06,0.07268475452213857
3,20,0.7818423509597778,0.015808163210749626,0.20398089289665222
3,40,0.8186216354370117,0.0326998196542263,0.5357161164283752
3,60,0.7142493724822998,0.0787581205368042,0.4057777225971222
3,80,0.5732449889183044,0.133778378367424,1.0330016613006592
3,100,44.957645416259766,0.23378102481365204,1.148625373840332
4,0,1.1410220237359474,3.321479679181159e-06,1.1498800430206648
4,20,0.0008341476204805076,0.019594715908169746,0.014031821861863136
4,40,0.0016441739862784743,0.04949270561337471,1.4871164560317993
4,60,0.006309896241873503,0.09714861959218979,1.6582025289535522
4,80,0.015527961775660515,0.12378820031881332,1.8007797002792358
4,100,0.018052853643894196,0.21692880988121033,1.9137448072433472
5,0,0.013809175991479098,1.7391992390997975e-06,1.1450205956282271
5,20,49.85237121582031,0.024155091494321823,0.009985783137381077
5,40,43.666561126708984,0.05306728929281235,0.042318325489759445
5,60,0.07128683477640152,0.10692944377660751,2.191577911376953
5,80,0.3796044588088989,0.17407788336277008,2.0823216438293457
5,100,2.2945961952209473,0.239484503865242,3.494133472442627
