Mode,Method,abs_err,rel_err
Mode 0,Regular PINN,2.17e+03,217073.062%
Mode 0,Curriculum Training,9.10e+02,91043.863%
Mode 0,PL-PINN (ours),**8.99e+02**,**89896.305%**
Mode 1,Regular PINN,1.57e+04,1567873.003%
Mode 1,Curriculum Training,2.09e+03,209030.213%
Mode 1,PL-PINN (ours),**8.98e+02**,**89765.932%**
Mode 2,Regular PINN,1.88e+03,188186.788%
Mode 2,Curriculum Training,**8.67e+02**,**86727.337%**
Mode 2,PL-PINN (ours),8.97e+02,89741.696%
Mode 3,Regular PINN,2.36e+04,2362830.690%
Mode 3,Curriculum Training,9.58e+02,95758.615%
Mode 3,PL-PINN (ours),**8.97e+02**,**89744.469%**
Mode 4,Regular PINN,2.60e+03,259710.222%
Mode 4,Curriculum Training,1.19e+03,118526.370%
Mode 4,PL-PINN (ours),**9.15e+02**,**91531.019%**
Mode 5,Regular PINN,5.54e+05,55387506.325%
Mode 5,Curriculum Training,9.33e+02,93295.207%
Mode 5,PL-PINN (ours),**9.16e+02**,**91574.986%**
