Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.00039493931020354847,0.05645991535463266
Regular PINN,0,20,43.82249450683594,4382.249450683594
Regular PINN,0,40,560.28564453125,56028.564453125
Regular PINN,0,60,442142.96875,44214296.875
Regular PINN,0,80,11489.8740234375,1148987.40234375
Regular PINN,0,100,32810.63671875,3281063.671875
Regular PINN,1,0,0.000339972030167703,0.03409457125695214
Regular PINN,1,20,107.7030258178711,10770.30258178711
Regular PINN,1,40,3340.267822265625,334026.7822265625
Regular PINN,1,60,482809.8125,48280981.25
Regular PINN,1,80,3361.922119140625,336192.2119140625
Regular PINN,1,100,37895.22265625,3789522.265625
Regular PINN,2,0,0.0002542861014766283,0.02793471247318031
Regular PINN,2,20,111.5679702758789,11156.79702758789
Regular PINN,2,40,485.0400695800781,48504.00695800781
Regular PINN,2,60,2529.246826171875,252924.6826171875
Regular PINN,2,80,1695.466552734375,169546.6552734375
Regular PINN,2,100,40954.52734375,4095452.734375
Regular PINN,3,0,0.00019327414758118515,0.020485821303448445
Regular PINN,3,20,11651.0283203125,1165102.83203125
Regular PINN,3,40,993853.8125,99385381.25
Regular PINN,3,60,122367.1875,12236718.75
Regular PINN,3,80,1667.5758056640625,166757.58056640625
Regular PINN,3,100,53841.03125,5384103.125
Regular PINN,4,0,2.3381360519313725e-05,0.0025412013539538587
Regular PINN,4,20,99.81537628173828,9981.537628173828
Regular PINN,4,40,398.11688232421875,39811.688232421875
Regular PINN,4,60,1041.5042724609375,104150.42724609375
Regular PINN,4,80,50602.8203125,5060282.03125
Regular PINN,4,100,50206.21484375,5020621.484375
Regular PINN,5,0,0.001135515432630199,0.1145675270845533
Regular PINN,5,20,12280.8203125,1228082.03125
Regular PINN,5,40,397.40008544921875,39740.008544921875
Regular PINN,5,60,884.4337768554688,88443.37768554688
Regular PINN,5,80,376954912.0,37695491200.0
Regular PINN,5,100,11492.91015625,1149291.015625
Curriculum Training,0,0,2.0739085024247343e-05,0.0027521259633682283
Curriculum Training,0,20,81.95143127441406,8195.143127441406
Curriculum Training,0,40,451.06939697265625,45106.939697265625
Curriculum Training,0,60,792.4373168945312,79243.73168945312
Curriculum Training,0,80,2171.560791015625,217156.0791015625
Curriculum Training,0,100,2255.29052734375,225529.052734375
Curriculum Training,1,0,3.988522882237462e-05,0.004224501583708985
Curriculum Training,1,20,586.3435668945312,58634.356689453125
Curriculum Training,1,40,1722.724609375,172272.4609375
Curriculum Training,1,60,20251.939453125,2025193.9453125
Curriculum Training,1,80,10391.8662109375,1039186.62109375
Curriculum Training,1,100,13865.046875,1386504.6875
Curriculum Training,2,0,8.437059271147451e-05,0.009116273771547964
Curriculum Training,2,20,2613.29541015625,261329.541015625
Curriculum Training,2,40,915.2959594726562,91529.59594726562
Curriculum Training,2,60,768.541259765625,76854.1259765625
Curriculum Training,2,80,17822.39453125,1782239.453125
Curriculum Training,2,100,17272.7734375,1727277.34375
Curriculum Training,3,0,7.156435693831759e-05,0.0075671548105747865
Curriculum Training,3,20,82.10228729248047,8210.228729248047
Curriculum Training,3,40,316.9585876464844,31695.858764648438
Curriculum Training,3,60,8903.8095703125,890380.95703125
Curriculum Training,3,80,1762.400634765625,176240.0634765625
Curriculum Training,3,100,22664.05078125,2266405.078125
Curriculum Training,4,0,2.2698124959068207e-05,0.0023479237805902275
Curriculum Training,4,20,100.5602798461914,10056.02798461914
Curriculum Training,4,40,556.5460205078125,55654.60205078125
Curriculum Training,4,60,1696.2322998046875,169623.22998046875
Curriculum Training,4,80,4122.99169921875,412299.169921875
Curriculum Training,4,100,71198.7265625,7119872.65625
Curriculum Training,5,0,9.951946496829008e-07,0.00010711953001823875
Curriculum Training,5,20,271.6186828613281,27161.868286132812
Curriculum Training,5,40,736.5261840820312,73652.61840820312
Curriculum Training,5,60,882.2955322265625,88229.55322265625
Curriculum Training,5,80,3495.94091796875,349594.091796875
Curriculum Training,5,100,22711.85546875,2271185.546875
PL-PINN (ours),0,0,0.00023065672083493824,0.0330972754968854
PL-PINN (ours),0,20,0.0064374180510640144,0.6437418051064014
PL-PINN (ours),0,40,0.06546661257743835,6.5466612577438354
PL-PINN (ours),0,60,0.0374712236225605,3.74712236225605
PL-PINN (ours),0,80,0.0704038143157959,7.04038143157959
PL-PINN (ours),0,100,0.06786002963781357,6.786002963781357
PL-PINN (ours),1,0,0.0006760564429132478,0.06968745975061758
PL-PINN (ours),1,20,0.012352035380899906,1.2352035380899906
PL-PINN (ours),1,40,0.029933776706457138,2.993377670645714
PL-PINN (ours),1,60,0.05232103914022446,5.232103914022446
PL-PINN (ours),1,80,0.10721337050199509,10.721337050199509
PL-PINN (ours),1,100,0.42195960879325867,42.19596087932587
PL-PINN (ours),2,0,0.00011273389509426057,0.012785583496679943
PL-PINN (ours),2,20,0.17762674391269684,17.762674391269684
PL-PINN (ours),2,40,0.06134235858917236,6.134235858917236
PL-PINN (ours),2,60,5.462308883666992,546.2308883666992
PL-PINN (ours),2,80,0.20871394872665405,20.871394872665405
PL-PINN (ours),2,100,1.1655460596084595,116.55460596084595
PL-PINN (ours),3,0,0.0009736099965521205,0.09760209754261566
PL-PINN (ours),3,20,94.47541046142578,9447.541046142578
PL-PINN (ours),3,40,362.25732421875,36225.732421875
PL-PINN (ours),3,60,793.8549194335938,79385.49194335938
PL-PINN (ours),3,80,1400.661865234375,140066.1865234375
PL-PINN (ours),3,100,2195.35302734375,219535.302734375
PL-PINN (ours),4,0,0.0010246214434584619,0.10430203480703941
PL-PINN (ours),4,20,99.1439208984375,9914.39208984375
PL-PINN (ours),4,40,393.980712890625,39398.0712890625
PL-PINN (ours),4,60,880.712646484375,88071.2646484375
PL-PINN (ours),4,80,1416.6361083984375,141663.61083984375
PL-PINN (ours),4,100,2182.353515625,218235.3515625
PL-PINN (ours),5,0,0.004149635622743519,0.41517250903511616
PL-PINN (ours),5,20,101.37342071533203,10137.342071533203
PL-PINN (ours),5,40,394.5726318359375,39457.26318359375
PL-PINN (ours),5,60,882.1082763671875,88210.82763671875
PL-PINN (ours),5,80,1536.53369140625,153653.369140625
PL-PINN (ours),5,100,2382.718505859375,238271.8505859375
