Mode,Gamma,Curriculum Training,PL-PINN,Regular PINN
0,0,0.00035840832069614206,0.001288744840656582,0.0020332458101153315
0,20,95.742919921875,0.010347000323235989,95.48310852050781
0,40,432.0589294433594,0.01438487134873867,262.5903015136719
0,60,1182.905517578125,0.02360868826508522,5539.220703125
0,80,1819.578369140625,0.05605348199605942,629.1332397460938
0,100,4508.14111328125,0.06378229707479477,12316.96875
1,0,0.07979823903981015,9.934125086146875e-05,0.03028235888830386
1,20,126.60321044921875,0.016394194215536118,153.25860595703125
1,40,378.0304260253906,0.07573628425598145,624.2813720703125
1,60,3393.3408203125,4.916018009185791,99746.609375
1,80,12258.1767578125,0.25981637835502625,1886.6710205078125
1,100,5531.47216796875,0.21932725608348846,22678.490234375
2,0,0.03750686265250135,6.478691607173392e-05,0.014768262866618333
2,20,206.1161651611328,0.09238433837890625,95.10324096679688
2,40,511.0434875488281,0.17499272525310516,305.9720764160156
2,60,950.6536254882812,0.2738378942012787,900.6851806640625
2,80,7765.8017578125,0.30828970670700073,1583.0260009765625
2,100,6791.5595703125,0.4114161431789398,4312.25390625
3,0,0.0013722688561538306,2.166306052352191e-06,0.14074241734540555
3,20,127.9512710571289,0.12118128687143326,1740.244873046875
3,40,409.4039611816406,0.22615312039852142,6741.7236328125
3,60,2189.590087890625,0.4714113175868988,57725.86328125
3,80,1764.13623046875,0.5252707004547119,2035.668212890625
3,100,4638.27587890625,0.8095322847366333,129493.140625
4,0,0.0008157699319846944,0.0003521526192045786,0.008757743478620985
4,20,99.2481460571289,0.2674376964569092,161.3707275390625
4,40,437.60528564453125,0.5390444993972778,968.6783447265625
4,60,1559.2978515625,0.5739900469779968,829.1524658203125
4,80,2778.15576171875,0.8756192922592163,31759.38671875
4,100,6877.259765625,0.8502741456031799,99010.8828125
5,0,0.016678865323308856,0.00013085573537682544,0.27345830483175815
5,20,111.06417083740234,0.8301391005516052,169653.859375
5,40,457.589111328125,1.9657683372497559,594.3480834960938
5,60,908.1646118164062,1.4883506298065186,14270.142578125
5,80,1579.1405029296875,1.6484606266021729,2730785.5
5,100,2687.218017578125,4.066270351409912,133136.109375
