Mode,Method,abs_err,rel_err
Mode 0,Regular PINN,3.14e+03,314056.649%
Mode 0,Curriculum Training,1.34e+03,133973.788%
Mode 0,PL-PINN,**2.82e-02**,**2.830%**
Mode 1,Regular PINN,2.08e+04,2084822.349%
Mode 1,Curriculum Training,3.61e+03,361461.721%
Mode 1,PL-PINN,**9.15e-01**,**91.457%**
Mode 2,Regular PINN,1.20e+03,119950.932%
Mode 2,Curriculum Training,2.70e+03,270420.229%
Mode 2,PL-PINN,**2.10e-01**,**21.016%**
Mode 3,Regular PINN,3.30e+04,3295613.030%
Mode 3,Curriculum Training,1.52e+03,152155.980%
Mode 3,PL-PINN,**3.59e-01**,**35.893%**
Mode 4,Regular PINN,2.21e+04,2212158.000%
Mode 4,Curriculum Training,1.96e+03,195859.461%
Mode 4,PL-PINN,**5.18e-01**,**51.779%**
Mode 5,Regular PINN,5.08e+05,50807337.261%
Mode 5,Curriculum Training,9.57e+02,95719.885%
Mode 5,PL-PINN,**1.67e+00**,**166.652%**
