Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.0020332458101153315,0.2822120300957627
Regular PINN,0,20,95.48310852050781,9548.310852050781
Regular PINN,0,40,262.5903015136719,26259.030151367188
Regular PINN,0,60,5539.220703125,553922.0703125
Regular PINN,0,80,629.1332397460938,62913.323974609375
Regular PINN,0,100,12316.96875,1231696.875
Regular PINN,1,0,0.03028235888830386,3.030352793109579
Regular PINN,1,20,153.25860595703125,15325.860595703125
Regular PINN,1,40,624.2813720703125,62428.13720703125
Regular PINN,1,60,99746.609375,9974660.9375
Regular PINN,1,80,1886.6710205078125,188667.10205078125
Regular PINN,1,100,22678.490234375,2267849.0234375
Regular PINN,2,0,0.014768262866618333,1.5534727409055749
Regular PINN,2,20,95.10324096679688,9510.324096679688
Regular PINN,2,40,305.9720764160156,30597.207641601562
Regular PINN,2,60,900.6851806640625,90068.51806640625
Regular PINN,2,80,1583.0260009765625,158302.60009765625
Regular PINN,2,100,4312.25390625,431225.390625
Regular PINN,3,0,0.14074241734540555,14.116618803507194
Regular PINN,3,20,1740.244873046875,174024.4873046875
Regular PINN,3,40,6741.7236328125,674172.36328125
Regular PINN,3,60,57725.86328125,5772586.328125
Regular PINN,3,80,2035.668212890625,203566.8212890625
Regular PINN,3,100,129493.140625,12949314.0625
Regular PINN,4,0,0.008757743478620985,0.8918975537542191
Regular PINN,4,20,161.3707275390625,16137.07275390625
Regular PINN,4,40,968.6783447265625,96867.83447265625
Regular PINN,4,60,829.1524658203125,82915.24658203125
Regular PINN,4,80,31759.38671875,3175938.671875
Regular PINN,4,100,99010.8828125,9901088.28125
Regular PINN,5,0,0.27345830483175815,27.62433125735907
Regular PINN,5,20,169653.859375,16965385.9375
Regular PINN,5,40,594.3480834960938,59434.808349609375
Regular PINN,5,60,14270.142578125,1427014.2578125
Regular PINN,5,80,2730785.5,273078550.0
Regular PINN,5,100,133136.109375,13313610.9375
Curriculum Training,0,0,0.00035840832069614206,0.045534567321856324
