Mode,Gamma,Curriculum Training,PL-PINN,Regular PINN
0,0,0.045534567321856324,0.16401827812489167,0.2822120300957627
0,20,9574.2919921875,1.0347000323235989,9548.310852050781
0,40,43205.89294433594,1.438487134873867,26259.030151367188
0,60,118290.5517578125,2.360868826508522,553922.0703125
0,80,181957.8369140625,5.605348199605942,62913.323974609375
0,100,450814.111328125,6.378229707479477,1231696.875
1,0,7.990202395310721,0.009979218170299904,3.030352793109579
1,20,12660.321044921875,1.6394194215536118,15325.860595703125
1,40,37803.04260253906,7.5736284255981445,62428.13720703125
1,60,339334.08203125,491.6018009185791,9974660.9375
1,80,1225817.67578125,25.981637835502625,188667.10205078125
1,100,553147.216796875,21.932725608348846,2267849.0234375
2,0,3.91154746577155,0.006795380908138149,1.5534727409055749
2,20,20611.61651611328,9.238433837890625,9510.324096679688
2,40,51104.34875488281,17.499272525310516,30597.207641601562
2,60,95065.36254882812,27.38378942012787,90068.51806640625
2,80,776580.17578125,30.828970670700073,158302.60009765625
2,100,679155.95703125,41.14161431789398,431225.390625
3,0,0.13732452312032883,0.0002199629599511963,14.116618803507194
3,20,12795.12710571289,12.118128687143326,174024.4873046875
3,40,40940.39611816406,22.615312039852142,674172.36328125
3,60,218959.0087890625,47.14113175868988,5772586.328125
3,80,176413.623046875,52.52707004547119,203566.8212890625
3,100,463827.587890625,80.95322847366333,12949314.0625
4,0,0.08393850025569287,0.03581806140510727,0.8918975537542191
4,20,9924.81460571289,26.743769645690918,16137.07275390625
4,40,43760.528564453125,53.90444993972778,96867.83447265625
4,60,155929.78515625,57.39900469779968,82915.24658203125
4,80,277815.576171875,87.56192922592163,3175938.671875
4,100,687725.9765625,85.027414560318,9901088.28125
5,0,1.668782117426015,0.013099151208824815,27.62433125735907
5,20,11106.417083740234,83.01391005516052,16965385.9375
5,40,45758.9111328125,196.5768337249756,59434.808349609375
5,60,90816.46118164062,148.83506298065186,1427014.2578125
5,80,157914.05029296875,164.84606266021729,273078550.0
5,100,268721.8017578125,406.6270351409912,13313610.9375
