Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,0,0.04065408226065281,0.014897764670770268,0.02144408437518395
0,20,0.006229056045413017,1.8007196558755822e-05,0.0034583036322146654
0,40,0.0031873458065092564,2.0860483346041292e-05,0.017548682168126106
0,60,0.010447121225297451,2.0763211068697274e-05,0.0011183635797351599
0,80,0.014432632364332676,2.022717490035575e-05,0.2588557302951813
0,100,0.014681891538202763,1.943290226336103e-05,0.02206944115459919
1,0,0.03203368070232683,0.03259134678460513,0.035227035979715986
1,20,0.008119197562336922,1.2728266483463813e-05,0.0028456239961087704
1,40,0.022572098299860954,1.2234807400091086e-05,0.02442360110580921
1,60,0.016166504472494125,1.2834867447963916e-05,0.0111842080950737
1,80,0.011378925293684006,1.3171009413781576e-05,0.0013251501368358731
1,100,0.022417819127440453,1.2921727829962038e-05,0.02178955264389515
2,0,0.053203968174830946,0.052228466464692744,0.060176026003606914
2,20,0.007524171844124794,1.7895545170176774e-05,0.03206789493560791
2,40,0.007479406893253326,1.5449362763320096e-05,0.010940933600068092
2,60,0.01607195846736431,1.560874625283759e-05,0.022668728604912758
2,80,0.01841762289404869,1.5854644516366534e-05,0.004770961124449968
2,100,0.03559168428182602,1.566417449794244e-05,0.1808890849351883
3,0,0.08924798257690719,0.07244877469254742,0.07804153308584358
3,20,0.004488042555749416,2.001624488912057e-05,0.03260090574622154
3,40,0.010275503620505333,2.1405156076070853e-05,0.04126020148396492
3,60,0.014253264293074608,2.0836343537666835e-05,0.004249371122568846
3,80,0.021090999245643616,2.0359266272862442e-05,0.02550952509045601
3,100,0.0185489933937788,2.0014455003547482e-05,0.02209145948290825
4,0,0.0964087420787604,0.09185423908722042,0.10361016469000937
4,20,0.0031001109164208174,2.323216358490754e-05,0.08421545475721359
4,40,0.021430185064673424,2.3510776372859254e-05,0.0028601186349987984
4,60,0.007683742791414261,2.3595595848746598e-05,0.017938820645213127
4,80,0.24005097150802612,2.380152727710083e-05,0.07124944031238556
4,100,0.012815544381737709,2.2745009118807502e-05,0.02490510232746601
5,0,0.12139687664476713,0.1107535685781179,0.11857597479319343
5,20,0.011110586114227772,2.6515837816987187e-05,0.03604644909501076
5,40,0.00878201425075531,2.7309062716085464e-05,0.03331774100661278
5,60,0.006819494068622589,2.7528265491127968e-05,0.0023515201173722744
5,80,0.011929601430892944,2.740308082138654e-05,0.3555141091346741
5,100,0.014449252746999264,2.7656942620524205e-05,0.04447656869888306
