Method,Mode,Gamma,Abs Error,Rel Error
Vanilla PINN,0,0,0.02144408437518395,23.60755780368196
Vanilla PINN,0,20,0.0034583036322146654,0.34583036322146654
Vanilla PINN,0,40,0.017548682168126106,1.7548682168126106
Vanilla PINN,0,60,0.0011183635797351599,0.11183635797351599
Vanilla PINN,0,80,0.2588557302951813,25.885573029518127
Vanilla PINN,0,100,0.02206944115459919,2.206944115459919
Vanilla PINN,1,0,0.035227035979715986,52.42907536172936
Vanilla PINN,1,20,0.0028456239961087704,0.28456239961087704
Vanilla PINN,1,40,0.02442360110580921,2.442360110580921
Vanilla PINN,1,60,0.0111842080950737,1.11842080950737
Vanilla PINN,1,80,0.0013251501368358731,0.1325150136835873
Vanilla PINN,1,100,0.02178955264389515,2.178955264389515
Vanilla PINN,2,0,0.060176026003606914,96.84739043027612
Vanilla PINN,2,20,0.03206789493560791,3.206789493560791
Vanilla PINN,2,40,0.010940933600068092,1.0940933600068092
Vanilla PINN,2,60,0.022668728604912758,2.266872860491276
Vanilla PINN,2,80,0.004770961124449968,0.47709611244499683
Vanilla PINN,2,100,0.1808890849351883,18.08890849351883
Vanilla PINN,3,0,0.07804153308584358,110.06206771828772
Vanilla PINN,3,20,0.03260090574622154,3.2600905746221542
Vanilla PINN,3,40,0.04126020148396492,4.126020148396492
Vanilla PINN,3,60,0.004249371122568846,0.4249371122568846
Vanilla PINN,3,80,0.02550952509045601,2.550952509045601
Vanilla PINN,3,100,0.02209145948290825,2.209145948290825
Vanilla PINN,4,0,0.10361016469000937,133.0106457089194
Vanilla PINN,4,20,0.08421545475721359,8.42154547572136
Vanilla PINN,4,40,0.0028601186349987984,0.28601186349987984
Vanilla PINN,4,60,0.017938820645213127,1.7938820645213127
Vanilla PINN,4,80,0.07124944031238556,7.124944031238556
Vanilla PINN,4,100,0.02490510232746601,2.490510232746601
Vanilla PINN,5,0,0.11857597479319343,152.7805897231754
Vanilla PINN,5,20,0.03604644909501076,3.6046449095010757
Vanilla PINN,5,40,0.03331774100661278,3.3317741006612778
Vanilla PINN,5,60,0.0023515201173722744,0.23515201173722744
Vanilla PINN,5,80,0.3555141091346741,35.55141091346741
Vanilla PINN,5,100,0.04447656869888306,4.447656869888306
Curriculum Training,0,0,0.04065408226065281,29.718195319371958
Curriculum Training,0,20,0.006229056045413017,0.6229056045413017
Curriculum Training,0,40,0.0031873458065092564,0.31873458065092564
Curriculum Training,0,60,0.010447121225297451,1.044712122529745
Curriculum Training,0,80,0.014432632364332676,1.4432632364332676
Curriculum Training,0,100,0.014681891538202763,1.4681891538202763
