Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,0,0.04444984715675189,0.025026066606508395,0.025632982801860806
0,20,0.007739813532680273,9.946388672688045e-06,0.0016312409425154328
0,40,0.0038561387918889523,9.985791621147655e-06,0.004602939821779728
0,60,0.003987147472798824,9.929225598170888e-06,0.0012820675037801266
0,80,0.0038624624721705914,9.963261618395336e-06,0.056269846856594086
0,100,0.0037224655970931053,1.0082167136715725e-05,0.0273127444088459
1,0,0.04420679714603978,0.04001822343732163,0.04754425310547409
1,20,0.011323071084916592,0.002450783271342516,0.0018528227228671312
1,40,0.011609605513513088,5.443985719466582e-05,0.010433947667479515
1,60,0.005142563953995705,1.0733821909525432e-05,0.007276399061083794
1,80,0.0033833684865385294,1.158939085144084e-05,0.0017826380208134651
1,100,0.016880981624126434,1.052775769494474e-05,0.00490166200324893
2,0,0.07399079835057688,0.07079508277780612,0.08092305869857484
2,20,0.010384034365415573,0.00046181760262697935,0.03196687251329422
2,40,0.008116037584841251,0.00016289748600684106,0.006873308215290308
2,60,0.0046656448394060135,1.6419617168139666e-05,0.02134903334081173
2,80,0.021988989785313606,1.000916563498322e-05,0.006397290155291557
2,100,0.0037360249552875757,9.988338206312619e-06,0.019915886223316193
3,0,0.11697648459245052,0.09919477360973024,0.10489316492596071
3,20,0.00510956346988678,0.0002677962474990636,0.015193985775113106
3,40,0.010346807539463043,2.3558135580969974e-05,0.02726801112294197
3,60,0.007653975393623114,1.0042796020570677e-05,0.0058186715468764305
3,80,0.01892770826816559,9.964507626136765e-06,0.004240760114043951
3,100,0.009154293686151505,9.979616152122617e-06,0.02971869520843029
4,0,0.13323670905178184,0.12832207174010263,0.1362752497572057
4,20,0.004122857004404068,2.4708409910090268e-05,0.07604473829269409
4,40,0.012557333335280418,0.00016296765534207225,0.003989668563008308
4,60,0.00435075955465436,1.0332622878195252e-05,0.004120341502130032
4,80,0.07264590263366699,1.8953542166855186e-05,0.012482799589633942
4,100,0.0027163377963006496,1.0014314284489956e-05,0.005314291920512915
5,0,0.16428687232748843,0.15585649651141234,0.16358973243006283
5,20,0.010754738003015518,0.0010657265083864331,0.013798324391245842
5,40,0.010861770249903202,0.00032345220097340643,0.010410590097308159
5,60,0.009115055203437805,2.2647163859801367e-05,0.0012395052472129464
5,80,0.008407342247664928,1.033611533785006e-05,0.08340873569250107
5,100,0.007826863788068295,9.998277164413594e-06,0.0079689035192132
