Mode,Method,abs_err,rel_err
Mode 0,Vanilla PINN,1.95e-02,5.411%
Mode 0,Curriculum Training,1.13e-02,5.062%
Mode 0,PL-PINN,**4.18e-03**,**4.757%**
Mode 1,Vanilla PINN,1.23e-02,9.173%
Mode 1,Curriculum Training,1.54e-02,9.114%
Mode 1,PL-PINN,**7.09e-03**,**7.206%**
Mode 2,Vanilla PINN,2.79e-02,17.580%
Mode 2,Curriculum Training,2.05e-02,14.294%
Mode 2,PL-PINN,**1.19e-02**,**12.315%**
Mode 3,Vanilla PINN,3.12e-02,19.711%
Mode 3,Curriculum Training,2.80e-02,20.146%
Mode 3,PL-PINN,**1.66e-02**,**17.027%**
Mode 4,Vanilla PINN,3.97e-02,23.864%
Mode 4,Curriculum Training,3.83e-02,25.314%
Mode 4,PL-PINN,**2.14e-02**,**21.100%**
Mode 5,Vanilla PINN,4.67e-02,27.411%
Mode 5,Curriculum Training,3.52e-02,25.083%
Mode 5,PL-PINN,**2.62e-02**,**24.289%**
