Method,Mode,Gamma,Abs Error,Rel Error
Vanilla PINN,0,0,0.025632982801860806,23.35660849913978
Vanilla PINN,0,20,0.0016312409425154328,0.16312409425154328
Vanilla PINN,0,40,0.004602939821779728,0.4602939821779728
Vanilla PINN,0,60,0.0012820675037801266,0.12820675037801266
Vanilla PINN,0,80,0.056269846856594086,5.626984685659409
Vanilla PINN,0,100,0.0273127444088459,2.73127444088459
Vanilla PINN,1,0,0.04754425310547409,52.412801216572625
Vanilla PINN,1,20,0.0018528227228671312,0.18528227228671312
Vanilla PINN,1,40,0.010433947667479515,1.0433947667479515
Vanilla PINN,1,60,0.007276399061083794,0.7276399061083794
Vanilla PINN,1,80,0.0017826380208134651,0.1782638020813465
Vanilla PINN,1,100,0.00490166200324893,0.490166200324893
Vanilla PINN,2,0,0.08092305869857484,96.8282365973957
Vanilla PINN,2,20,0.03196687251329422,3.196687251329422
Vanilla PINN,2,40,0.006873308215290308,0.6873308215290308
Vanilla PINN,2,60,0.02134903334081173,2.134903334081173
Vanilla PINN,2,80,0.006397290155291557,0.6397290155291557
Vanilla PINN,2,100,0.019915886223316193,1.9915886223316193
Vanilla PINN,3,0,0.10489316492596071,110.04038811663422
Vanilla PINN,3,20,0.015193985775113106,1.5193985775113106
Vanilla PINN,3,40,0.02726801112294197,2.726801112294197
Vanilla PINN,3,60,0.0058186715468764305,0.581867154687643
Vanilla PINN,3,80,0.004240760114043951,0.4240760114043951
Vanilla PINN,3,100,0.02971869520843029,2.971869520843029
Vanilla PINN,4,0,0.1362752497572057,132.98834750205037
Vanilla PINN,4,20,0.07604473829269409,7.604473829269409
Vanilla PINN,4,40,0.003989668563008308,0.39896685630083084
Vanilla PINN,4,60,0.004120341502130032,0.41203415021300316
Vanilla PINN,4,80,0.012482799589633942,1.2482799589633942
Vanilla PINN,4,100,0.005314291920512915,0.5314291920512915
Vanilla PINN,5,0,0.16358973243006283,152.78260941324953
Vanilla PINN,5,20,0.013798324391245842,1.3798324391245842
Vanilla PINN,5,40,0.010410590097308159,1.0410590097308159
Vanilla PINN,5,60,0.0012395052472129464,0.12395052472129464
Vanilla PINN,5,80,0.08340873569250107,8.340873569250107
Vanilla PINN,5,100,0.0079689035192132,0.79689035192132
Curriculum Training,0,0,0.04444984715675189,28.054566152649237
Curriculum Training,0,20,0.007739813532680273,0.7739813532680273
Curriculum Training,0,40,0.0038561387918889523,0.3856138791888952
Curriculum Training,0,60,0.003987147472798824,0.39871474727988243
Curriculum Training,0,80,0.0038624624721705914,0.38624624721705914
Curriculum Training,0,100,0.0037224655970931053,0.37224655970931053
Curriculum Training,1,0,0.04420679714603978,49.851515085792435
Curriculum Training,1,20,0.011323071084916592,1.1323071084916592
Curriculum Training,1,40,0.011609605513513088,1.1609605513513088
Curriculum Training,1,60,0.005142563953995705,0.5142563953995705
Curriculum Training,1,80,0.0033833684865385294,0.33833684865385294
Curriculum Training,1,100,0.016880981624126434,1.6880981624126434
Curriculum Training,2,0,0.07399079835057688,80.87282480725
Curriculum Training,2,20,0.010384034365415573,1.0384034365415573
Curriculum Training,2,40,0.008116037584841251,0.8116037584841251
Curriculum Training,2,60,0.0046656448394060135,0.46656448394060135
Curriculum Training,2,80,0.021988989785313606,2.1988989785313606
Curriculum Training,2,100,0.0037360249552875757,0.37360249552875757
Curriculum Training,3,0,0.11697648459245052,115.75964069912689
Curriculum Training,3,20,0.00510956346988678,0.510956346988678
Curriculum Training,3,40,0.010346807539463043,1.0346807539463043
Curriculum Training,3,60,0.007653975393623114,0.7653975393623114
Curriculum Training,3,80,0.01892770826816559,1.8927708268165588
Curriculum Training,3,100,0.009154293686151505,0.9154293686151505
Curriculum Training,4,0,0.13323670905178184,142.24740361180622
Curriculum Training,4,20,0.004122857004404068,0.4122857004404068
Curriculum Training,4,40,0.012557333335280418,1.2557333335280418
Curriculum Training,4,60,0.00435075955465436,0.435075955465436
Curriculum Training,4,80,0.07264590263366699,7.264590263366699
Curriculum Training,4,100,0.0027163377963006496,0.27163377963006496
Curriculum Training,5,0,0.16428687232748843,145.79971762907786
Curriculum Training,5,20,0.010754738003015518,1.0754738003015518
Curriculum Training,5,40,0.010861770249903202,1.0861770249903202
Curriculum Training,5,60,0.009115055203437805,0.9115055203437805
Curriculum Training,5,80,0.008407342247664928,0.8407342247664928
Curriculum Training,5,100,0.007826863788068295,0.7826863788068295
PL-PINN,0,0,0.025026066606508395,28.535165774301802
PL-PINN,0,20,9.946388672688045e-06,0.0009946388672688045
PL-PINN,0,40,9.985791621147655e-06,0.0009985791621147655
PL-PINN,0,60,9.929225598170888e-06,0.0009929225598170888
PL-PINN,0,80,9.963261618395336e-06,0.0009963261618395336
PL-PINN,0,100,1.0082167136715725e-05,0.0010082167136715725
PL-PINN,1,0,0.04001822343732163,42.97943255256488
PL-PINN,1,20,0.002450783271342516,0.2450783271342516
PL-PINN,1,40,5.443985719466582e-05,0.005443985719466582
PL-PINN,1,60,1.0733821909525432e-05,0.0010733821909525432
PL-PINN,1,80,1.158939085144084e-05,0.001158939085144084
PL-PINN,1,100,1.052775769494474e-05,0.001052775769494474
PL-PINN,2,0,0.07079508277780612,73.82365282703131
PL-PINN,2,20,0.00046181760262697935,0.046181760262697935
PL-PINN,2,40,0.00016289748600684106,0.016289748600684106
PL-PINN,2,60,1.6419617168139666e-05,0.0016419617168139666
PL-PINN,2,80,1.000916563498322e-05,0.001000916563498322
PL-PINN,2,100,9.988338206312619e-06,0.000998833820631262
PL-PINN,3,0,0.09919477360973024,102.13247067651268
PL-PINN,3,20,0.0002677962474990636,0.02677962474990636
PL-PINN,3,40,2.3558135580969974e-05,0.0023558135580969974
PL-PINN,3,60,1.0042796020570677e-05,0.0010042796020570677
PL-PINN,3,80,9.964507626136765e-06,0.0009964507626136765
PL-PINN,3,100,9.979616152122617e-06,0.0009979616152122617
PL-PINN,4,0,0.12832207174010263,126.5800194943546
PL-PINN,4,20,2.4708409910090268e-05,0.0024708409910090268
PL-PINN,4,40,0.00016296765534207225,0.016296765534207225
PL-PINN,4,60,1.0332622878195252e-05,0.0010332622878195252
PL-PINN,4,80,1.8953542166855186e-05,0.0018953542166855186
PL-PINN,4,100,1.0014314284489956e-05,0.0010014314284489956
PL-PINN,5,0,0.15585649651141234,145.59013037320815
PL-PINN,5,20,0.0010657265083864331,0.10657265083864331
PL-PINN,5,40,0.00032345220097340643,0.03234522009734064
PL-PINN,5,60,2.2647163859801367e-05,0.0022647163859801367
PL-PINN,5,80,1.033611533785006e-05,0.001033611533785006
PL-PINN,5,100,9.998277164413594e-06,0.0009998277164413594
