Method,Mode,Gamma,Abs Error,Rel Error
Vanilla PINN,0,0,0.019459454342201706,18.060554284814913
Vanilla PINN,0,20,0.0060850828886032104,0.608508288860321
Vanilla PINN,0,40,0.010061386041343212,1.0061386041343212
Vanilla PINN,0,60,0.0540112741291523,5.40112741291523
Vanilla PINN,0,80,0.036546509712934494,3.6546509712934494
Vanilla PINN,0,100,0.027341214939951897,2.7341214939951897
Vanilla PINN,1,0,0.06812313484324392,125.28411301016129
Vanilla PINN,1,20,0.01704222708940506,1.704222708940506
Vanilla PINN,1,40,0.004554442595690489,0.4554442595690489
Vanilla PINN,1,60,0.0033401353284716606,0.33401353284716606
Vanilla PINN,1,80,0.014994220808148384,1.4994220808148384
Vanilla PINN,1,100,0.0038186025340110064,0.38186025340110064
Vanilla PINN,2,0,0.1453208419228723,140.46339880304558
Vanilla PINN,2,20,0.0019763184245675802,0.19763184245675802
Vanilla PINN,2,40,0.004790716804563999,0.4790716804563999
Vanilla PINN,2,60,0.025069840252399445,2.5069840252399445
Vanilla PINN,2,80,0.0061116027645766735,0.6111602764576674
Vanilla PINN,2,100,0.0048464382998645306,0.48464382998645306
Vanilla PINN,3,0,0.17155167146970993,140.22629401537253
Vanilla PINN,3,20,0.3526915907859802,35.26915907859802
Vanilla PINN,3,40,0.04425977170467377,4.425977170467377
Vanilla PINN,3,60,0.014729293063282967,1.4729293063282967
Vanilla PINN,3,80,0.016474667936563492,1.6474667936563492
Vanilla PINN,3,100,0.04654891788959503,4.654891788959503
Vanilla PINN,4,0,0.17215404897119174,141.4121762906879
Vanilla PINN,4,20,0.3481718897819519,34.81718897819519
Vanilla PINN,4,40,0.0321461521089077,3.21461521089077
Vanilla PINN,4,60,0.03313019871711731,3.313019871711731
Vanilla PINN,4,80,0.01843586005270481,1.843586005270481
Vanilla PINN,4,100,0.006318903528153896,0.6318903528153896
Vanilla PINN,5,0,0.16559215706884664,141.76357830752394
Vanilla PINN,5,20,0.08823700249195099,8.823700249195099
Vanilla PINN,5,40,0.06546945869922638,6.546945869922638
Vanilla PINN,5,60,0.025156531482934952,2.515653148293495
Vanilla PINN,5,80,0.011130991391837597,1.1130991391837597
