Mode,Method,abs_err,rel_err
Mode 0,Vanilla PINN,7.91e-02,8.217%
Mode 0,Curriculum Training,1.33e-02,1.663%
Mode 0,PL-PINN,**6.99e-05**,**0.038%**
Mode 1,Vanilla PINN,1.05e-01,11.138%
Mode 1,Curriculum Training,3.80e-02,4.238%
Mode 1,PL-PINN,**6.00e-05**,**0.035%**
Mode 2,Vanilla PINN,7.17e-02,7.538%
Mode 2,Curriculum Training,3.60e-02,4.674%
Mode 2,PL-PINN,**6.09e-05**,**0.035%**
Mode 3,Vanilla PINN,1.98e+00,199.199%
Mode 3,Curriculum Training,3.23e-02,4.078%
Mode 3,PL-PINN,**6.47e-05**,**0.034%**
Mode 4,Vanilla PINN,3.58e+00,358.148%
Mode 4,Curriculum Training,1.31e-01,16.376%
Mode 4,PL-PINN,**7.49e-05**,**0.054%**
Mode 5,Vanilla PINN,2.35e+00,255.347%
Mode 5,Curriculum Training,4.51e-02,15.544%
Mode 5,PL-PINN,**7.86e-05**,**0.052%**
