Method,Mode,Gamma,Abs Error,Rel Error
Regular PINN,0,0,0.00010021046910715991,0.04640703838185025
Regular PINN,0,20,0.2608380615711212,26.08380615711212
Regular PINN,0,40,1.072164535522461,107.2164535522461
Regular PINN,0,60,1.6346968412399292,163.46968412399292
Regular PINN,0,80,2.7316396236419678,273.1639623641968
Regular PINN,0,100,0.012090876698493958,1.2090876698493958
Regular PINN,1,0,0.00034894338278015127,0.16613941805087268
Regular PINN,1,20,0.040040213614702225,4.0040213614702225
Regular PINN,1,40,0.40534844994544983,40.53484499454498
Regular PINN,1,60,0.9077770709991455,90.77770709991455
Regular PINN,1,80,0.660401463508606,66.0401463508606
Regular PINN,1,100,0.006088227964937687,0.6088227964937687
Regular PINN,2,0,0.0003904985127369629,0.23689333007754546
Regular PINN,2,20,0.050860464572906494,5.086046457290649
Regular PINN,2,40,2.587796688079834,258.7796688079834
Regular PINN,2,60,0.04897243529558182,4.897243529558182
Regular PINN,2,80,0.10377585142850876,10.377585142850876
Regular PINN,2,100,0.33482053875923157,33.48205387592316
Regular PINN,3,0,8.931245077308824e-05,0.04391566730609398
Regular PINN,3,20,0.05811678245663643,5.811678245663643
Regular PINN,3,40,0.4700242877006531,47.00242877006531
Regular PINN,3,60,0.3950500190258026,39.50500190258026
Regular PINN,3,80,1.7891498804092407,178.91498804092407
Regular PINN,3,100,0.023404961451888084,2.3404961451888084
Regular PINN,4,0,7.477565935649586e-05,0.03679825764225353
Regular PINN,4,20,0.0852503627538681,8.52503627538681
Regular PINN,4,40,0.24089005589485168,24.08900558948517
Regular PINN,4,60,23.89528465270996,2389.528465270996
Regular PINN,4,80,0.8098490238189697,80.98490238189697
Regular PINN,4,100,0.7812380194664001,78.12380194664001
Regular PINN,5,0,0.0038700141180376692,1.9902042540659663
Regular PINN,5,20,0.14369429647922516,14.369429647922516
Regular PINN,5,40,72.75727081298828,7275.727081298828
Regular PINN,5,60,3205.739501953125,320573.9501953125
Regular PINN,5,80,9.877681732177734,987.7681732177734
Regular PINN,5,100,1.0528991222381592,105.28991222381592
Curriculum Training,0,0,5.094612629389805e-05,0.03112804816167083
Curriculum Training,0,20,0.4311937391757965,43.11937391757965
Curriculum Training,0,40,1.3869818449020386,138.69818449020386
Curriculum Training,0,60,4.049396514892578,404.9396514892578
Curriculum Training,0,80,11.335187911987305,1133.5187911987305
Curriculum Training,0,100,3.872020721435547,387.2020721435547
Curriculum Training,1,0,9.611506987445831e-05,0.044900691112316725
Curriculum Training,1,20,0.24722141027450562,24.72214102745056
Curriculum Training,1,40,1.0359116792678833,103.59116792678833
Curriculum Training,1,60,1.9106836318969727,191.06836318969727
Curriculum Training,1,80,2.5521254539489746,255.21254539489746
Curriculum Training,1,100,2.3113718032836914,231.13718032836914
Curriculum Training,2,0,0.0025546886389704376,1.2946740916138901
Curriculum Training,2,20,0.33219534158706665,33.219534158706665
Curriculum Training,2,40,1.292198657989502,129.2198657989502
Curriculum Training,2,60,1.384150505065918,138.4150505065918
Curriculum Training,2,80,1.4647233486175537,146.47233486175537
Curriculum Training,2,100,1.6878552436828613,168.78552436828613
Curriculum Training,3,0,4.238480171970868e-05,0.023346178149614174
Curriculum Training,3,20,0.15704789757728577,15.704789757728577
Curriculum Training,3,40,0.5370578765869141,53.705787658691406
Curriculum Training,3,60,1.2039036750793457,120.39036750793457
Curriculum Training,3,80,1.7622894048690796,176.22894048690796
Curriculum Training,3,100,2.3314757347106934,233.14757347106934
Curriculum Training,4,0,0.00014095423889357595,0.08245894937719662
Curriculum Training,4,20,0.14855481684207916,14.855481684207916
Curriculum Training,4,40,0.4839773178100586,48.39773178100586
Curriculum Training,4,60,1.0445716381072998,104.45716381072998
Curriculum Training,4,80,1.4361623525619507,143.61623525619507
Curriculum Training,4,100,1.833683967590332,183.3683967590332
Curriculum Training,5,0,0.00011381004503033392,0.05742567940990371
Curriculum Training,5,20,0.13284659385681152,13.284659385681152
Curriculum Training,5,40,0.4665940999984741,46.65940999984741
Curriculum Training,5,60,0.9469322562217712,94.69322562217712
Curriculum Training,5,80,1.3162788152694702,131.62788152694702
Curriculum Training,5,100,1.9282126426696777,192.82126426696777
PL-PINN (ours),0,0,0.00014260353311782974,0.0703815135810104
PL-PINN (ours),0,20,9.919334843289107e-06,0.0009919334843289107
PL-PINN (ours),0,40,9.436241271032486e-06,0.0009436241271032486
PL-PINN (ours),0,60,8.707523193152156e-06,0.0008707523193152156
PL-PINN (ours),0,80,1.105455248762155e-05,0.001105455248762155
PL-PINN (ours),0,100,9.914677320921328e-06,0.0009914677320921328
