Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,0,0.17722780933656715,0.07336423645875938,0.014171595772615014
0,20,0.5591903924942017,0.030876055359840393,0.01551781315356493
0,40,0.6074198484420776,0.11502265185117722,0.09347248077392578
0,60,0.37491095066070557,0.11275658756494522,0.038744546473026276
0,80,0.8273168802261353,0.01899905316531658,0.0061818817630410194
0,100,0.23060686886310577,0.014339353889226913,0.03379875794053078
1,0,0.18999742748803283,0.20628319009543272,0.14619087139292106
1,20,0.4434046745300293,1.0504525899887085,0.002586879301816225
1,40,0.9131136536598206,2.467998504638672,0.020210525020956993
1,60,0.9546860456466675,53.79851531982422,0.12305570393800735
1,80,1.0514355897903442,36913.515625,0.029496029019355774
1,100,0.19718915224075317,7.754451751708984,0.048258062452077866
2,0,0.10619492001382266,0.19037893744283063,0.1469247565771657
2,20,0.008650488220155239,47.725250244140625,0.052727051079273224
2,40,0.006759245414286852,323.0437927246094,0.007227184716612101
2,60,0.0053680031560361385,3247.13623046875,0.00441714795306325
2,80,0.005150798242539167,0.7150343656539917,0.006461709272116423
2,100,0.005237303674221039,1.5038647651672363,0.0036678947508335114
3,0,0.0773339095938471,0.21498831229384832,0.16801955976069358
3,20,0.00853803101927042,332.4694519042969,0.17585666477680206
3,40,0.021082019433379173,150.36962890625,0.003587909508496523
3,60,0.1592351198196411,0.6476904153823853,0.0237384382635355
3,80,0.03865788131952286,0.0950283333659172,0.050120044499635696
3,100,0.03484825789928436,260.84942626953125,0.014602682553231716
4,0,0.10395873328458474,0.21933847153847238,0.0899962474694459
4,20,0.10489363223314285,295.7610168457031,0.09340455383062363
4,40,0.01132684201002121,9379.86328125,0.053296592086553574
4,60,0.008368941023945808,97.48890686035156,0.03195197135210037
4,80,0.007043191231787205,6815.544921875,0.011714588850736618
4,100,0.005767468363046646,2867.947509765625,0.00034136968315578997
5,0,0.10993478295504086,0.21494430455337676,0.10075861107590668
5,20,0.013170278631150723,44.627967834472656,0.26428547501564026
5,40,0.025189707055687904,5.437650680541992,0.03627075254917145
5,60,0.01895829848945141,1901.154296875,0.0028915193397551775
5,80,0.04566427692770958,726.1272583007812,0.017289578914642334
5,100,0.012873438186943531,5.438147068023682,0.010593204759061337
