Mode,Method,abs_err,rel_err
Mode 0,Vanilla PINN,**3.36e-02**,**5.879%**
Mode 0,Curriculum Training,4.63e-01,66.765%
Mode 0,PL-PINN,6.09e-02,13.901%
Mode 1,Vanilla PINN,**6.16e-02**,**27.470%**
Mode 1,Curriculum Training,6.25e-01,82.358%
Mode 1,PL-PINN,6.16e+03,616334.911%
Mode 2,Vanilla PINN,3.69e-02,**24.723%**
Mode 2,Curriculum Training,**2.29e-02**,26.471%
Mode 2,PL-PINN,6.03e+02,60356.506%
Mode 3,Vanilla PINN,7.27e-02,27.871%
Mode 3,Curriculum Training,**5.66e-02**,**23.708%**
Mode 3,PL-PINN,1.24e+02,12432.410%
Mode 4,Vanilla PINN,4.68e-02,26.722%
Mode 4,Curriculum Training,**4.02e-02**,**26.518%**
Mode 4,PL-PINN,3.24e+03,324302.336%
Mode 5,Vanilla PINN,7.20e-02,29.027%
Mode 5,Curriculum Training,**3.76e-02**,**27.186%**
Mode 5,PL-PINN,4.47e+02,44738.231%
