Method,Mode,Gamma,Abs Error,Rel Error
Vanilla PINN,0,0,0.014171595772615014,16.500509533263177
Vanilla PINN,0,20,0.01551781315356493,1.551781315356493
Vanilla PINN,0,40,0.09347248077392578,9.347248077392578
Vanilla PINN,0,60,0.038744546473026276,3.8744546473026276
Vanilla PINN,0,80,0.0061818817630410194,0.6181881763041019
Vanilla PINN,0,100,0.03379875794053078,3.3798757940530777
Vanilla PINN,1,0,0.14619087139292106,142.45822996343628
Vanilla PINN,1,20,0.002586879301816225,0.2586879301816225
Vanilla PINN,1,40,0.020210525020956993,2.0210525020956993
Vanilla PINN,1,60,0.12305570393800735,12.305570393800735
Vanilla PINN,1,80,0.029496029019355774,2.9496029019355774
Vanilla PINN,1,100,0.048258062452077866,4.825806245207787
Vanilla PINN,2,0,0.1469247565771657,140.8870084337385
Vanilla PINN,2,20,0.052727051079273224,5.272705107927322
Vanilla PINN,2,40,0.007227184716612101,0.7227184716612101
Vanilla PINN,2,60,0.00441714795306325,0.44171479530632496
Vanilla PINN,2,80,0.006461709272116423,0.6461709272116423
Vanilla PINN,2,100,0.0036678947508335114,0.36678947508335114
Vanilla PINN,3,0,0.16801955976069358,140.43827022360657
Vanilla PINN,3,20,0.17585666477680206,17.585666477680206
Vanilla PINN,3,40,0.003587909508496523,0.3587909508496523
Vanilla PINN,3,60,0.0237384382635355,2.37384382635355
Vanilla PINN,3,80,0.050120044499635696,5.01200444996357
Vanilla PINN,3,100,0.014602682553231716,1.4602682553231716
Vanilla PINN,4,0,0.0899962474694459,141.2581278257567
Vanilla PINN,4,20,0.09340455383062363,9.340455383062363
Vanilla PINN,4,40,0.053296592086553574,5.329659208655357
Vanilla PINN,4,60,0.03195197135210037,3.1951971352100372
Vanilla PINN,4,80,0.011714588850736618,1.1714588850736618
Vanilla PINN,4,100,0.00034136968315578997,0.034136968315579
Vanilla PINN,5,0,0.10075861107590668,141.03130677980434
Vanilla PINN,5,20,0.26428547501564026,26.428547501564026
Vanilla PINN,5,40,0.03627075254917145,3.6270752549171448
Vanilla PINN,5,60,0.0028915193397551775,0.28915193397551775
Vanilla PINN,5,80,0.017289578914642334,1.7289578914642334
Vanilla PINN,5,100,0.010593204759061337,1.0593204759061337
Curriculum Training,0,0,0.17722780933656715,140.64702779707753
Curriculum Training,0,20,0.5591903924942017,55.919039249420166
Curriculum Training,0,40,0.6074198484420776,60.741984844207764
Curriculum Training,0,60,0.37491095066070557,37.49109506607056
Curriculum Training,0,80,0.8273168802261353,82.73168802261353
Curriculum Training,0,100,0.23060686886310577,23.060686886310577
Curriculum Training,1,0,0.18999742748803283,138.16686122708967
Curriculum Training,1,20,0.4434046745300293,44.34046745300293
Curriculum Training,1,40,0.9131136536598206,91.31136536598206
Curriculum Training,1,60,0.9546860456466675,95.46860456466675
Curriculum Training,1,80,1.0514355897903442,105.14355897903442
Curriculum Training,1,100,0.19718915224075317,19.718915224075317
Curriculum Training,2,0,0.10619492001382266,155.71118774507062
Curriculum Training,2,20,0.008650488220155239,0.8650488220155239
Curriculum Training,2,40,0.006759245414286852,0.6759245414286852
Curriculum Training,2,60,0.0053680031560361385,0.5368003156036139
Curriculum Training,2,80,0.005150798242539167,0.5150798242539167
Curriculum Training,2,100,0.005237303674221039,0.5237303674221039
Curriculum Training,3,0,0.0773339095938471,116.01098867890367
Curriculum Training,3,20,0.00853803101927042,0.853803101927042
Curriculum Training,3,40,0.021082019433379173,2.1082019433379173
Curriculum Training,3,60,0.1592351198196411,15.923511981964111
Curriculum Training,3,80,0.03865788131952286,3.8657881319522858
Curriculum Training,3,100,0.03484825789928436,3.4848257899284363
Curriculum Training,4,0,0.10395873328458474,145.36997229255687
Curriculum Training,4,20,0.10489363223314285,10.489363223314285
Curriculum Training,4,40,0.01132684201002121,1.132684201002121
Curriculum Training,4,60,0.008368941023945808,0.8368941023945808
Curriculum Training,4,80,0.007043191231787205,0.7043191231787205
Curriculum Training,4,100,0.005767468363046646,0.5767468363046646
Curriculum Training,5,0,0.10993478295504086,151.53211950755846
Curriculum Training,5,20,0.013170278631150723,1.3170278631150723
Curriculum Training,5,40,0.025189707055687904,2.5189707055687904
Curriculum Training,5,60,0.01895829848945141,1.8958298489451408
Curriculum Training,5,80,0.04566427692770958,4.566427692770958
Curriculum Training,5,100,0.012873438186943531,1.287343818694353
PL-PINN,0,0,0.07336423645875938,54.20676407218304
PL-PINN,0,20,0.030876055359840393,3.0876055359840393
PL-PINN,0,40,0.11502265185117722,11.502265185117722
PL-PINN,0,60,0.11275658756494522,11.275658756494522
PL-PINN,0,80,0.01899905316531658,1.8999053165316582
PL-PINN,0,100,0.014339353889226913,1.4339353889226913
PL-PINN,1,0,0.20628319009543272,150.75946598363788
PL-PINN,1,20,1.0504525899887085,105.04525899887085
PL-PINN,1,40,2.467998504638672,246.7998504638672
PL-PINN,1,60,53.79851531982422,5379.851531982422
PL-PINN,1,80,36913.515625,3691351.5625
PL-PINN,1,100,7.754451751708984,775.4451751708984
PL-PINN,2,0,0.19037893744283063,126.62092791945459
PL-PINN,2,20,47.725250244140625,4772.5250244140625
PL-PINN,2,40,323.0437927246094,32304.379272460938
PL-PINN,2,60,3247.13623046875,324713.623046875
PL-PINN,2,80,0.7150343656539917,71.50343656539917
PL-PINN,2,100,1.5038647651672363,150.38647651672363
PL-PINN,3,0,0.21498831229384832,151.3367410631896
PL-PINN,3,20,332.4694519042969,33246.94519042969
PL-PINN,3,40,150.36962890625,15036.962890625
PL-PINN,3,60,0.6476904153823853,64.76904153823853
PL-PINN,3,80,0.0950283333659172,9.50283333659172
PL-PINN,3,100,260.84942626953125,26084.942626953125
PL-PINN,4,0,0.21933847153847238,153.45187972853608
PL-PINN,4,20,295.7610168457031,29576.101684570312
PL-PINN,4,40,9379.86328125,937986.328125
PL-PINN,4,60,97.48890686035156,9748.890686035156
PL-PINN,4,80,6815.544921875,681554.4921875
PL-PINN,4,100,2867.947509765625,286794.7509765625
PL-PINN,5,0,0.21494430455337676,150.8538077671842
PL-PINN,5,20,44.627967834472656,4462.796783447266
PL-PINN,5,40,5.437650680541992,543.7650680541992
PL-PINN,5,60,1901.154296875,190115.4296875
PL-PINN,5,80,726.1272583007812,72612.72583007812
PL-PINN,5,100,5.438147068023682,543.8147068023682
