Mode	Gamma	Chemical Potential
0	0.0	12.571345
0	10.0	14.603915
0	20.0	15.123362
0	30.0	15.561404
0	40.0	16.079426
0	50.0	16.668070
1	0.0	16.535183
1	10.0	16.714113
1	20.0	15.525318
1	30.0	18.451603
1	40.0	19.995449
1	50.0	19.194559
2	0.0	16.997849
2	10.0	17.521046
2	20.0	18.022345
2	30.0	18.522976
2	40.0	19.023460
2	50.0	19.524015
3	0.0	17.321268
3	10.0	17.589136
3	20.0	18.094481
3	30.0	18.600105
3	40.0	19.104765
3	50.0	19.610109
4	0.0	15.095748
4	10.0	15.613074
4	20.0	16.119629
4	30.0	16.613724
4	40.0	17.121500
4	50.0	17.617323
5	0.0	17.316181
5	10.0	17.587795
5	20.0	18.092094
5	30.0	18.596075
5	40.0	19.099886
5	50.0	19.603558
6	0.0	18.053734
6	10.0	18.551479
6	20.0	19.052086
6	30.0	19.551590
6	40.0	20.051340
6	50.0	20.551096
7	0.0	17.309063
7	10.0	17.025984
7	20.0	17.614645
7	30.0	18.149300
7	40.0	18.580828
7	50.0	19.071241
